"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 15:34:27 GMT+08:00 2021","Tue Jan 05 15:34:27 GMT+08:00 2021","0","","get_userinfo","Test","","","test_getuserinfo",""
"passed","Tue Jan 05 16:01:18 GMT+08:00 2021","Tue Jan 05 16:01:18 GMT+08:00 2021","0","testcase","get_userinfo","Test","","","获取用户信息-标题",""
